ID_EXPEDIENTE;DS_ESTADO;FC_SOLICITUD;TL_FECHA_INI_PER;TL_FECHA_FIN_PER;TL_MUN_INTER;TLLOCALIDAD_AFEC1;TLLOCALIDAD_AFEC2;TLLOCALIDAD_AFEC3;TLLOCALIDAD_AFEC4;TLLOCALIDAD_AFEC5;TLLOCALIDAD_AFEC6;TLLOCALIDAD_AFEC7;ITCAUSAS_EXPO;TL_CAUSA_FM;TL_CAUSA_ECO;ITCAUSAS_OR;TL_CAUSA_TEC;TL_CAUSA_PRO;TL_CNAE_09;DSCNAE;NUM_TRAB_PLANT;NUM_TRAB_AFECT;TL_MED_SUSP;TL_MED_RED;TL_MED_EXT
09/2874/00562.1/2022;Iniciado;2022-04-08 13:11:42.0;01/04/2022;31/12/2022;Boadilla del Monte;MADRID;;;;;;;;SI;NO;NO;NO;NO;5610;Restaurantes y puestos de comidas;11;4;SI;NO;NO
09/2874/00571.2/2022;Iniciado;2022-04-08 18:57:00.0;01/04/2022;31/12/2022;Madrid;MADRID;LAS PALMAS;;;;;;;NO;NO;NO;NO;NO;7911;Actividades de las agencias de viajes;45;26;SI;SI;NO
09/2874/00581.4/2022;Iniciado;2022-04-11 14:34:35.0;12/04/2022;12/04/2023;Alcorcón;ALCORCÓN;;;;;;;PRODUCTIVAS;NO;NO;NO;NO;NO;8299;Otras actividades de apoyo a las empresas n.c.o.p.;87;4;SI;NO;NO
09/2874/00592.7/2022;Iniciado;2022-04-12 13:36:07.0;09/04/2022;08/10/2022;Madrid;MADRID;;;;;;;OTRAS;NO;SI;NO;NO;NO;7911;Actividades de las agencias de viajes;6;6;SI;SI;NO
09/2874/00602.1/2022;Iniciado;2022-04-13 10:43:50.0;08/04/2022;07/10/2022;Ajalvir;AJALVIR;;;;;;;OTRAS;NO;SI;NO;NO;NO;7733;Alquiler de maquinaria y equipo de oficina, incluidos ordenadores;6;5;SI;SI;NO
09/2874/00611.2/2022;Iniciado;2022-04-13 20:08:52.0;01/04/2022;01/10/2022;Madrid;MADRID;;;;;;;OTRAS;NO;SI;NO;NO;NO;5610;Restaurantes y puestos de comidas;14;4;NO;SI;NO
09/2874/00621.4/2022;Iniciado;2022-04-18 18:52:02.0;22/04/2022;31/12/2022;Torrejón de la Calzada;TORREJON DE LA CALZADA;;;;;;;OTRAS;NO;SI;NO;NO;NO;4634;Comercio al por mayor de bebidas;13;6;SI;SI;NO
09/2874/00630.5/2022;Iniciado;2022-04-19 22:22:22.0;25/04/2022;24/04/2023;Granada;ESPARTINAS;ALCOBENDAS;;;;;;OTRAS;NO;SI;NO;NO;NO;4652;Comercio al por mayor de equipos electrónicos y de telecomunicaciones y sus componentes;25;23;SI;SI;NO
09/2874/00640.7/2022;Iniciado;2022-04-20 17:48:40.0;01/04/2022;31/12/2022;Leganés;LEGANES;;;;;;;MR;NO;NO;NO;NO;NO;4939;Otros tipos de transporte terrestre de pasajeros n.c.o.p.;1;1;NO;SI;NO
09/2874/00650.0/2022;Iniciado;2022-04-21 22:34:19.0;01/05/2022;31/12/2022;Móstoles;MOSTOLES;;;;;;;OTRAS;NO;SI;NO;NO;NO;3109;Fabricación de otros muebles;28;28;NO;SI;NO
09/2874/00660.2/2022;Iniciado;2022-04-25 10:49:49.0;01/04/2022;31/12/2022;Madrid;MADRID;;;;;;;MR;NO;NO;NO;NO;NO;7911;Actividades de las agencias de viajes;1;1;SI;NO;NO
09/2874/00670.4/2022;Iniciado;2022-04-26 17:30:27.0;01/04/2022;30/04/2022;Madrid;Madrid;;;;;;;MR;NO;NO;NO;NO;NO;7911;Actividades de las agencias de viajes;1;1;SI;NO;NO
09/2874/00680.6/2022;Iniciado;2022-04-27 17:36:20.0;01/04/2022;31/12/2022;Madrid;MADRID;;;;;;;MR;NO;NO;NO;NO;NO;7911;Actividades de las agencias de viajes;28;28;SI;SI;NO
09/2874/00690.8/2022;Iniciado;2022-04-28 22:57:17.0;01/05/2022;31/10/2022;Madrid;Madrid;;;;;;;OTRAS;NO;SI;NO;NO;NO;6201;Actividades de programación informática;2;1;SI;NO;NO
09/2874/00700.2/2022;Iniciado;2022-05-03 12:48:18.0;01/04/2022;31/12/2022;Madrid;MADRID;;;;;;;MR;NO;NO;NO;NO;NO;7911;Actividades de las agencias de viajes;3;2;SI;NO;NO
09/2874/00710.4/2022;Iniciado;2022-05-05 10:17:33.0;01/04/2022;31/12/2022;Madrid;MADRID;;;;;;;MR;NO;NO;NO;NO;NO;7911;Actividades de las agencias de viajes;1;1;SI;NO;NO
09/2874/00720.6/2022;Iniciado;2022-05-09 18:54:07.0;09/05/2022;09/05/2023;Coruña, A;MADRID;;;;;;;OTRAS;NO;NO;NO;NO;NO;8299;Otras actividades de apoyo a las empresas n.c.o.p.;568;5;SI;SI;NO
